track_name,track_artist,track_album_id,track_album_release_date,track_id,track_album_id,playlist_name,playlist_genre,playlist_subgenre,playlist_id,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,time_signature,track_href,uri,analysis_url,id
Die With A Smile,"Lady Gaga, Bruno Mars",10FLjwfpbxLmW8c25Xyc2N,16/08/2024,2plbrEY59IikOBgBGLjaoe,10FLjwfpbxLmW8c25Xyc2N,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,100,0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0,0,6,251668,0.308,3,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,2plbrEY59IikOBgBGLjaoe
BIRDS OF A FEATHER,Billie Eilish,7aJuG4TFXa2hmE4z1yxc3n,17/05/2024,6dOtVTDdiauQNBQEDOtlAB,7aJuG4TFXa2hmE4z1yxc3n,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,97,0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.0608,1,2,210373,0.2,4,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB
That’s So True,Gracie Abrams,0hBRqPYPXhr1RkTDG3n4Mk,18/10/2024,7ne4VBA60CxGM75vw0EYad,0hBRqPYPXhr1RkTDG3n4Mk,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,93,0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,0,1,1,166300,0.214,4,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad
Taste,Sabrina Carpenter,4B4Elma4nNDUyl6D5PvQkj,23/08/2024,1d7Ptw3qYcfpdLNL5REhtJ,4B4Elma4nNDUyl6D5PvQkj,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,81,0.91,112.966,0.67,-4.07,0.304,0.786,0.0634,0,0,0,157280,0.0939,4,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ,1d7Ptw3qYcfpdLNL5REhtJ
APT.,"ROSÉ, Bruno Mars",2IYQwwgxgOIn7t3iF6ufFD,18/10/2024,5vNRhkKd0yEAg8suGBpjeY,2IYQwwgxgOIn7t3iF6ufFD,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,98,0.783,149.027,0.777,-4.477,0.355,0.939,0.26,0,0,0,169917,0.0283,4,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,5vNRhkKd0yEAg8suGBpjeY
"Good Luck, Babe!",Chappell Roan,1WAjjRMfZjEXtB0lQrAw6Q,05/04/2024,0WbMK4wrZ1wFSty9F7FCgu,1WAjjRMfZjEXtB0lQrAw6Q,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,94,0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0,0,11,218424,0.0502,4,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,0WbMK4wrZ1wFSty9F7FCgu
Diet Pepsi,Addison Rae,0XA403JTounqFh2owquBXu,09/08/2024,6MzofobZt2dm0Kf1hTThFz,0XA403JTounqFh2owquBXu,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,88,0.561,150.069,0.669,-6.538,0.0954,0.841,0.0411,0.00962,1,10,169698,0.495,4,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz,6MzofobZt2dm0Kf1hTThFz
WILDFLOWER,Billie Eilish,7aJuG4TFXa2hmE4z1yxc3n,17/05/2024,3QaPy1KgI7nu9FJEQUgn6h,7aJuG4TFXa2hmE4z1yxc3n,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,93,0.247,148.101,0.467,-12.002,0.17,0.126,0.0431,0.000271,0,6,261467,0.612,4,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,3QaPy1KgI7nu9FJEQUgn6h
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",2IRxVVqbSbqHJo8Zx50LYn,27/09/2024,1Es7AUAhQvapIcoh3qMKDL,2IRxVVqbSbqHJo8Zx50LYn,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,92,0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,2.56e-06,0,11,256000,0.0584,4,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,1Es7AUAhQvapIcoh3qMKDL
Guess featuring billie eilish,"Charli xcx, Billie Eilish",3ThlxfLSy4bfKzxWqmC7VN,01/08/2024,3WOhcATHxK2SLNeP5W3v1v,3ThlxfLSy4bfKzxWqmC7VN,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,85,0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,0.3,1,7,145219,0.0146,4,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,3WOhcATHxK2SLNeP5W3v1v
